ID	Statement	GreetingType
1672508732	hey how are you doing?	WhatsUp
2016556794	hey, hows it going?	WhatsUp
1597622210	hey, whats up?	WhatsUp
1911705601	hello, what is up?	WhatsUp
355766435	hello, what are you doing?	WhatsUp
1462636897	yo, what are you up to?	WhatsUp
1325432367	howdy, how is everything?	WhatsUp
676964079	hey there, how was your day?	WhatsUp
511850207	hey woman, how is your day going?	WhatsUp
1870120716	hey babe, how is it going?	WhatsUp
14609636	hi baby, whats happening?	WhatsUp
312264726	hi what is happening?	WhatsUp
1904429695	hello what is going on?	WhatsUp
1479368090	hey whats going on?	WhatsUp
1501920383	yo whats goin on?	WhatsUp
1159045249	hey dawg whats new?	WhatsUp
407014981	hey whats happening in your world?	WhatsUp
2066804257	hey what was your day like?	WhatsUp
779503538	hey want to hang out?	HangOut
1608819830	hey want to chill?	HangOut
1813563865	hey want to go out?	HangOut
596221261	hey want to go	HangOut
418519151	sup, want to hang out	HangOut
1577886034	hello, want to chill	HangOut
2008714069	hello, want to go there?	HangOut
1285317118	hey want to come over?	HangOut
1418509029	hey can i come over?	HangOut
856957119	hey want to hang out later?	HangOut
669915236	yo want to chill later?	HangOut
1672690389	yo want to come over later?	HangOut
1962133717	hey dude wanna chill?	HangOut
1608526987	sup man wanna fuck?	HangOut
1577679712	hey cutie wanna screw around	HangOut
759555700	youre cute ,wanna fool around?	HangOut
1583491163	hey can you come over?	HangOut
958166165	hey how are you?	HowAreYou
649914604	hey how are you doing?	HowAreYou
1879166433	hello how is you doing?	HowAreYou
1395433974	hey hows you doing?	HowAreYou
1351876969	yo, how are you feeling?	HowAreYou
