ID	Statement	GreetingType
1528034435	want to hang out?	HangOut
166112508	want to chill?	HangOut
605155623	want to go out?	HangOut
214181097	want to go	HangOut
746113280	want to hang out	HangOut
1785418924	want to chill	HangOut
2114921221	want to go there?	HangOut
1116573888	want to come over?	HangOut
734531822	can i come over?	HangOut
2049416291	want to hang out later?	HangOut
1093981599	want to chill later?	HangOut
107233680	want to come over later?	HangOut
1681914703	wanna chill?	HangOut
1214072909	wanna fuck?	HangOut
730227417	wanna screw around	HangOut
242042469	wanna fool around?	HangOut
1744072221	can you come over?	HangOut
1275847142	how are you?	HowAreYou
254361377	how are you doing?	HowAreYou
1597362320	how is you doing?	HowAreYou
462665804	hows you doing?	HowAreYou
1034466741	how are you feeling?	HowAreYou
1521565123	how are you doing?	WhatsUp
935533140	hows it going?	WhatsUp
1020105756	whats up?	WhatsUp
600273774	what is up?	WhatsUp
1471597893	what are you doing?	WhatsUp
421720875	what are you up to?	WhatsUp
1601893088	how is everything?	WhatsUp
216890978	how was your day?	WhatsUp
651433502	how is your day going?	WhatsUp
871982103	how is it going?	WhatsUp
680922586	whats happening?	WhatsUp
1724161981	what is happening?	WhatsUp
860491798	what is going on?	WhatsUp
1190371874	whats going on?	WhatsUp
244835761	whats goin on?	WhatsUp
2083364295	whats new?	WhatsUp
717547035	whats happening in your world?	WhatsUp
1681707824	what was your day like?	WhatsUp
