ID	SentimentType	Statement
012	    nice	happy
1	    nice	pleasant
2	    nice	that was great
3	    nice	that was awesome
4	    nice	that was cool
5	    nice	this is cool
6	    nice	this is awesome
7	    nice	this is great
8	    nice	youre going to laugh
9	    nice	that was funny
10	    nice	this is funny
11	    nice	funny
12	    nice	awesome
13	    nice	great
14	    nice	cool
15	    nice	sweet
16	    nice	pretty awesome
17	    nice	amazing
18	    nice	that was amazing
19	    nice	holy cow that was cool
20	    nice	shit that was fucking awesome
21	    nice	wow that was interesting
22	    nice	oh my god lets do that again
23	    nice	that was the coolest
24	    nice	this is soo cool
25	    nice	this is friggin epic
26	    nice	epic
27	    nice	wow
28	    nice	holy shit thats just sweet
29	    nice	you are sweet
30	    nice	youre sweet
31	    nice	youre awesome
32	    nice	youre funny
33	    nice	i liked that
34	    nice	i like that
35	    nice	i think that was pretty fun
36	    nice	fun
37	    nice	fun stuff
38	    nice	lol
39	    nice	lmfao
40	    nice	rofl
41	    nice	amusing
42	    nice	that makes me happy
43	    nice	that made me happy
44	    nice	it makes me happy when you do that
45	    nice	can we do that again?
46	    nice	im not sure what id do if not
011	    love	i love you
111	    love	i dont like when youre not here
211	    love	come cuddle
311	    love	love you
411	    love	my love
511	    love	i miss you lover
611	    love	lover
711	    love	i miss you my love
811	    love	i miss you so much 
911	    love	<3<3
1011	love	<3
1111	love	<3<3<3<3<3<3
1211	love	xoxoxoxoxoxoxoxoxoox
1311	love	xxxxxx
1411	love	ooooo
1511	love	xo
1611	love	youre the most amazing man/woman ive ever met
1711	love	marry me?
1811	love	i love when you do that
1911	love	i love when that happens
2011	love	i really love you
2111	love	i fucking love you
2211	love	i think youre fucking great
2311	love	i think youre the greatest
2411	love	youre the best babe
2511	love	babe
2611	love	baby
2711	love	babs
2811	love	hun
2911	love	sweety
3011	love	sweetheart
3111	love	youre my boo
3211	love	thank you sweety
3311	love	thank you sweetheart
3411	love	thank you lover
3511	love	i loved that
3611	love	i never want to live another day without you
3711	love	i cant live without you
3811	love	i cant stand when youre not here
3911	love	i need you
1040	love	i want you in my life forever
1041	love	thanks babe
1042	love	thanks baby
1043	love	bae
1044	love	youre the sexiest
1045	love	youre so sexy
1046	love	youre sexy af
1047	love	youre sexy as fuck
1048	love	holy fuck youre hot
1049	love	youre a hotty
5100	love	we should get together, youre truly amazing
1051	love	you are truly amazing
1052	love	youre actually amazing
1053	love	i wanna cuddle
1054	love	i want to cuddle
1055	love	can we cuddle?
1056	love	cuddles?
1057	love	cuddle me!
1058	love	cuddle me
1059	love	the things id do to you
1060	love	youre fucking awesome baby
1061	love	youre awesome babe
1062	love	that was the best babe
1063	love	babe can we cuddle
1064	love	baby, i need you now
1065	love	baby please
1066	love	ok babe
1067	love	babe please
1068	love	babe, i need you now
1069	love	homes not the same without you babe
1070	love	i dont like when youre not around
1071	love	i never want to sleep next to anyone else
1072	love	i would never leave you
1073	love	love me!
1074	love	be mine?
1075	love	hi boo!
1076	love	hi sweety
1077	love	hi lover
1078	love	hey baby
1079	love	hey lover
1080	love	hey sweetheart
1081	love	hey hun
1082	love	hey baby, i miss you.
1083	love	hey love i miss you
1084	love	i miss you so much
1085	love	hey sweetness i miss you.
1086	love	hey sexy i love you
1087	love	hey sexy i need you right now
1088	love	can we get together? i need to see you again
